CategoryID,CategoryName,Description,Department,ParentCategoryID,AveragePrice,PopularityIndex,Seasonality,TargetDemographic,ProfitMargin
1,Category 1,Description 1,Electronics,,134.24033169345535,42.54858051228258,Summer,Senior,0.23823508953954337
2,Category 2,Description 2,Home,7.0,161.9100856562196,65.69564976790635,Summer,Teen,0.17172043854478924
3,Category 3,Description 3,Electronics,1.0,147.78392803083665,94.52421527605433,All Year,Child,0.2926603621589582
4,Category 4,Description 4,Outdoor,8.0,63.0074530012606,66.68226278871477,Summer,Adult,0.28162753433231025
5,Category 5,Description 5,Fashion,5.0,226.1434293209049,52.99081326930688,Summer,Teen,0.2178495184364806
6,Category 6,Description 6,Electronics,4.0,185.0185201965539,42.22035502731798,Autumn,Teen,0.33656680945540074
7,Category 7,Description 7,Home,4.0,219.03502045348256,11.449418741837052,Autumn,Adult,0.10215903965312588
8,Category 8,Description 8,Fashion,4.0,119.55784741678583,48.23035539626704,Autumn,Teen,0.2305681081200239
9,Category 9,Description 9,Electronics,3.0,151.7284770817442,16.355701222903733,All Year,Teen,0.35962569713614123
10,Category 10,Description 10,Home,2.0,98.162440567912,58.63653112482992,Summer,Adult,0.11034914219475365
