AccessID,UserID,PageVisited,VisitDate,SessionDuration,Browser,Device,Country,Referrer,Conversion
1,86,About,2024-06-08 08:58:54.113976,56.05370253486744,Chrome,Tablet,Germany,Google,True
2,46,Product,2024-06-17 08:58:54.113990,293.0955732607886,Chrome,Tablet,Germany,Bing,False
3,93,Product,2024-06-11 08:58:54.113994,140.54375931942036,Chrome,Desktop,Canada,Social Media,True
4,23,Product,2024-06-20 08:58:54.113997,177.1543379488648,Edge,Tablet,USA,Bing,False
5,15,About,2024-05-22 08:58:54.114000,166.04308794189376,Firefox,Desktop,Germany,Google,False
6,1,Home,2024-06-13 08:58:54.114004,201.71135198943202,Edge,Mobile,Canada,Google,True
7,51,Contact,2024-05-25 08:58:54.114007,51.1026922169781,Edge,Mobile,UK,Bing,True
8,55,Product,2024-06-11 08:58:54.114012,54.28078687332729,Firefox,Tablet,France,Bing,True
9,51,About,2024-05-29 08:58:54.114016,50.99225208883719,Chrome,Mobile,UK,Google,True
10,10,Product,2024-05-30 08:58:54.114020,79.697738087951,Firefox,Desktop,France,Direct,False
11,34,About,2024-05-26 08:58:54.114023,138.73094777130137,Edge,Mobile,Canada,Google,True
12,41,Home,2024-06-04 08:58:54.114026,137.12702591684442,Chrome,Desktop,UK,Bing,False
13,41,Contact,2024-05-25 08:58:54.114030,114.07136518575925,Edge,Tablet,Canada,Google,True
14,8,Home,2024-06-08 08:58:54.114033,237.42378554453597,Safari,Desktop,France,Social Media,False
15,27,Product,2024-05-22 08:58:54.114036,258.0099511534338,Chrome,Tablet,Germany,Social Media,False
16,30,About,2024-06-03 08:58:54.114039,55.190720261423664,Safari,Tablet,Canada,Google,True
17,51,Product,2024-06-14 08:58:54.114042,64.76091709123182,Edge,Desktop,USA,Bing,False
18,58,Contact,2024-06-03 08:58:54.114045,34.93701667345021,Chrome,Tablet,Germany,Google,False
19,18,Home,2024-05-28 08:58:54.114049,66.7303277415071,Edge,Tablet,Germany,Direct,True
20,11,Contact,2024-05-24 08:58:54.114052,128.19973569433432,Safari,Mobile,USA,Google,False
21,44,Product,2024-05-28 08:58:54.114055,194.69771197683949,Chrome,Mobile,UK,Google,True
22,63,Home,2024-05-30 08:58:54.114059,159.48790685244242,Firefox,Desktop,USA,Google,False
